Code;track_name;artist(s)_name;artist_count;released_year;released_month;in_spotify_playlists;streams;key;mode;danceability_%;cover_url
631;Si Te La Encuentras Por Ahï¿;Feid;1;2022;8;1379;179061440;G#;Minor;74;https://i.scdn.co/image/ab67616d0000b273b47e7b6440836be413b84c34
632;Attention;NewJeans;1;2022;8;799;264717480;A#;Minor;81;https://i.scdn.co/image/ab67616d0000b2739d28fd01859073a3ae6ea209
633;Siempre Pendientes;Peso Pluma, Luis R Conriquez;2;2022;8;685;295152154;;Major;77;https://i.scdn.co/image/ab67616d0000b273093a2563368d844b2a91306f
634;After LIKE;IVE;1;2022;8;767;265548837;;Major;68;https://i.scdn.co/image/ab67616d0000b27387f53da5fb4ab1171766b2d5
635;Talk that Talk;TWICE;1;2022;8;615;189476119;D#;Minor;77;https://i.scdn.co/image/ab67616d0000b273c3040848e6ef0e132c5c8340
636;BABY OTAKU;Fran C, Polima WestCoast, Nickoog Clk, Pablito Pesadilla;4;2022;8;836;159240673;A;Major;84;Not Found
637;Unholy (feat. Kim Petras);Sam Smith, Kim Petras;2;2022;9;8576;1230675890;D;Major;71;https://i.scdn.co/image/ab67616d0000b273a935e4689f15953311772cc4
638;Obsessed;Abhijay Sharma, Riar Saab;2;2022;9;161;71007139;F;Minor;80;Not Found
639;Shut Down;BLACKPINK;1;2022;9;1524;482175240;;Major;82;https://i.scdn.co/image/ab67616d0000b273002ef53878df1b4e91c15406
640;Vista Al Mar;Quevedo;1;2022;9;1769;362361576;;Minor;76;https://i.scdn.co/image/ab67616d0000b273efc1b8f6beda4abe848a84e0
641;Besos Moja2;Wisin & Yandel, ROSALï¿½;2;2022;9;2460;309483971;F;Minor;74;https://i.scdn.co/image/ab67616d0000b2739f05bb270f81880fd844aae8
642;STAR WALKIN' (League of Legends Worlds Anthem);Lil Nas X;1;2022;9;2616;332506354;D;Minor;64;https://i.scdn.co/image/ab67616d0000b27304cd9a1664fb4539a55643fe
643;Eu Gosto Assim - Ao Vivo;Gustavo Mioto, Mari Fernandez;2;2022;9;1473;222612678;;Major;64;https://i.scdn.co/image/ab67616d0000b27319bb2fb697a42c1084d71f6c
644;PUNTO 40;Baby Rasta, Rauw Alejandro;2;2022;9;3006;304079786;;Major;87;Not Found
645;Evoque Prata;DJ Escobar, MC MENOR SG, MC MENOR HR;3;2022;9;852;174006928;G;Major;87;https://i.scdn.co/image/ab67616d0000b273769f6572dfa10ee7827edbf2
646;WORTH NOTHING;Twisted, Oliver Tree;2;2022;9;1612;213438580;D;Minor;58;https://i.scdn.co/image/ab67616d0000b273f5e2ffd88f07e55f34c361c8
647;Shut up My Moms Calling - (Sped Up);Hotel Ugly;1;2022;9;713;181831132;F;Minor;65;https://i.scdn.co/image/ab67616d0000b2737437083c2521a8c077b9cfd7
648;Tubarï¿½ï¿½o Te;Dj LK da Escï¿½ï¿½cia, Tchakabum, mc jhenny, M;4;2022;9;1003;116144341;E;Minor;89;Not Found
649;Forget Me;Lewis Capaldi;1;2022;9;2520;239411309;C#;Minor;67;https://i.scdn.co/image/ab67616d0000b2737cdf9838412bb52df6e9a952
650;Prohibidox;Feid;1;2022;9;1473;185392587;C#;Minor;65;https://i.scdn.co/image/ab67616d0000b273b764865b38a71f70dfd0dbcb
651;Talk;YEAT;1;2022;9;920;148461629;E;Minor;70;https://i.scdn.co/image/ab67616d0000b2737aee5b36a3a60ca926bc429b
652;XQ Te Pones Asï¿;Yandel, Feid;2;2022;9;308;47093942;A#;Major;81;Not Found
653;Lady Mi Amor;Feid;1;2022;9;330;53987404;D;Major;78;https://i.scdn.co/image/ab67616d0000b27373456ed697350847810e52b3
654;Celestial;Ed Sheeran;1;2022;9;1639;176474912;D;Major;57;https://i.scdn.co/image/ab67616d0000b27300bc0dcf5dd155f73eff5267
655;Typa Girl;BLACKPINK;1;2022;9;452;235549288;G;Major;92;https://i.scdn.co/image/ab67616d0000b2734aeaaeeb0755f1d8a8b51738
656;Bamba (feat. Aitch & BIA);Luciano, Aitch, Bï¿½;3;2022;9;869;146223492;A#;Major;80;https://i.scdn.co/image/ab67616d0000b27348064ef6df8fad8a52219c32
657;Anti-Hero;Taylor Swift;1;2022;10;9082;999748277;E;Major;64;https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5
658;Hey Mor;Ozuna, Feid;2;2022;10;4637;674072710;C#;Minor;90;https://i.scdn.co/image/ab67616d0000b273125624f2e04f5a1ccb0dfb45
659;Karma;Taylor Swift;1;2022;10;3818;404562836;G#;Major;64;https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5
660;Escapism.;RAYE, 070 Shake;2;2022;10;5129;532336353;D;Major;54;https://i.scdn.co/image/ab67616d0000b27394e5237ce925531dbb38e75f
661;Lavender Haze;Taylor Swift;1;2022;10;3763;488386797;A#;Major;73;https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5
662;Just Wanna Rock;Lil Uzi Vert;1;2022;10;3995;457184829;B;Major;49;https://i.scdn.co/image/ab67616d0000b273438799bc344744c12028bb0f
663;Made You Look;Meghan Trainor;1;2022;10;3956;502574952;A#;Major;84;https://i.scdn.co/image/ab67616d0000b2731a4f1ada93881da4ca8060ff
664;Midnight Rain;Taylor Swift;1;2022;10;2612;433356509;;Major;64;https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5
665;Malas Decisiones;Kenia OS;1;2022;10;542;156214700;G#;Minor;81;https://i.scdn.co/image/ab67616d0000b2739afe5698b0a9559dabc44ac8
666;SPIT IN MY FACE!;ThxSoMch;1;2022;10;629;303216294;G#;Major;73;https://i.scdn.co/image/ab67616d0000b27360ddc59c8d590a37cf2348f3
667;Monotonï¿½;Ozuna, Shakira;2;2022;10;3645;380726517;;Minor;87;Not Found
668;Quï¿½ï¿½ Ago;Yuridia, Angela Aguilar;2;2022;10;660;236857112;B;Major;73;Not Found
669;Maan Meri Jaan;King;1;2022;10;288;319566866;F#;Minor;70;https://i.scdn.co/image/ab67616d0000b27337f65266754703fd20d29854
670;ANTIFRAGILE;LE SSERAFIM;1;2022;10;761;301051721;A#;Minor;88;https://i.scdn.co/image/ab67616d0000b273a991995542d50a691b9ae5be
671;Shirt;SZA;1;2022;10;3469;309653982;D#;Minor;82;https://i.scdn.co/image/ab67616d0000b27370dbc9f47669d120ad874ec1
672;Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By;Rihanna;1;2022;10;3311;297328960;A;Major;25;https://i.scdn.co/image/ab67616d0000b273a790c56cff6e3463bf9935cb
673;Gatita;Bellakath;1;2022;10;1054;168684524;G;Major;90;https://i.scdn.co/image/ab67616d0000b273070c919f062e9fbfc03ca16b
674;KICK BACK;Kenshi Yonezu;1;2022;10;574;210038833;C#;Major;58;https://i.scdn.co/image/ab67616d0000b273303d8545fce8302841c39859
675;SPIT IN MY FACE!;ThxSoMch;1;2022;10;573;301869854;C#;Major;70;https://i.scdn.co/image/ab67616d0000b27360ddc59c8d590a37cf2348f3
676;Snow On The Beach (feat. Lana Del Rey);Taylor Swift, Lana Del Rey;2;2022;10;2415;323437194;A;Major;66;https://i.scdn.co/image/ab67616d0000b273fa747621a53c8e2cc436dee0
677;Maroon;Taylor Swift;1;2022;10;2304;317726339;G;Major;64;https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5
678;Bejeweled;Taylor Swift;1;2022;10;2699;328207708;G;Major;70;https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5
679;THE LONELIEST;Mï¿½ï¿½ne;1;2022;10;1585;225093344;D;Major;52;Not Found
680;Bye Bye;Marshmello, Juice WRLD;2;2022;10;766;84697729;D#;Minor;65;https://i.scdn.co/image/ab67616d0000b2734204e8bad640cf32eca876a5
681;Nxde;(G)I-DLE;1;2022;10;430;170709584;E;Minor;73;https://i.scdn.co/image/ab67616d0000b273ac815bdd584468a7aa0216e1
682;California Breeze;Lil Baby;1;2022;10;991;85559365;F;Minor;74;https://i.scdn.co/image/ab67616d0000b27366b04b41fa6f8908dce86695
683;Vigilante Shit;Taylor Swift;1;2022;10;1948;253650850;E;Minor;80;https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5
684;Question...?;Taylor Swift;1;2022;10;1608;223064273;G;Major;75;https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5
685;Mastermind;Taylor Swift;1;2022;10;1936;218320587;E;Major;66;https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5
686;Labyrinth;Taylor Swift;1;2022;10;1597;187339835;;Major;48;https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5
687;Sweet Nothing;Taylor Swift;1;2022;10;1747;186104310;;Major;34;https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5
688;The Astronaut;Jin;1;2022;10;481;203436468;F;Major;54;https://i.scdn.co/image/ab67616d0000b27343aaff780ea621da5ce4eb0a
689;The Great War;Taylor Swift;1;2022;10;1274;181382590;F;Major;57;https://i.scdn.co/image/ab67616d0000b273e0b60c608586d88252b8fbc0
690;Bigger Than The Whole Sky;Taylor Swift;1;2022;10;1180;121871870;F#;Major;42;https://i.scdn.co/image/ab67616d0000b273e0b60c608586d88252b8fbc0
691;En La De Ella;Feid, Sech, Jhayco;3;2022;10;1320;133895612;C#;Major;82;Not Found
692;AMG;Natanael Cano, Gabito Ballesteros, Peso Pluma;3;2022;11;995;463564958;B;Minor;77;https://i.scdn.co/image/ab67616d0000b273fbf10e7799f39fbcd301e55a
693;La Jumpa;Arcangel, Bad Bunny;2;2022;11;3794;538115192;G#;Major;71;https://i.scdn.co/image/ab67616d0000b27330326b23e30ae93d4d48165b
694;Players;Coi Leray;1;2022;11;4096;335074782;F#;Major;95;https://i.scdn.co/image/ab67616d0000b2731cf7cf4446b496525e423465
695;Rich Flex;Drake, 21 Savage;2;2022;11;4657;573633020;B;Minor;56;https://i.scdn.co/image/ab67616d0000b27302854a7060fccc1a66a4b5ad
696;Punto G;Quevedo;1;2022;11;1985;381161027;B;Minor;75;https://i.scdn.co/image/ab67616d0000b273efc1b8f6beda4abe848a84e0
697;10:35;Tiï¿½ï¿½sto, Tate M;2;2022;11;4942;325592432;G#;Major;70;Not Found
698;CAIRO;Karol G, Ovy On The Drums;2;2022;11;2418;294352144;F;Minor;95;https://i.scdn.co/image/ab67616d0000b27382de1ca074ae63cb18fce335
699;"Apna Bana Le (From ""Bhediya"")";Arijit Singh, Sachin-Jigar;2;2022;11;86;139836056;A;Major;59;Not Found
700;Bombonzinho - Ao Vivo;Israel & Rodolffo, Ana Castela;2;2022;11;1254;263453310;C#;Major;65;https://i.scdn.co/image/ab67616d0000b2736ccbcc3358d31dcba6e7c035
701;Boy's a liar;PinkPantheress;1;2022;11;1225;156338624;F;Major;66;https://i.scdn.co/image/ab67616d0000b27342c5ba689b2e7cbc208a8fa7
702;Escapism. - Sped Up;RAYE, 070 Shake;2;2022;11;1368;184308753;F#;Minor;44;https://i.scdn.co/image/ab67616d0000b273e38f6d02f1e76fe09009e64e
703;Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack];BTS, Jung Kook, FIFA Sound;3;2022;11;889;323358833;;Major;71;Not Found
704;Die For You;Joji;1;2022;11;1703;246390068;G#;Major;47;https://i.scdn.co/image/ab67616d0000b273eaac2a7955f5b8967991cacb
705;Antidepresan;Mabel Matiz, Mert Demir;2;2022;11;313;136689549;B;Minor;70;Not Found
706;Major Distribution;Drake, 21 Savage;2;2022;11;1545;154863153;G#;Minor;91;https://i.scdn.co/image/ab67616d0000b27302854a7060fccc1a66a4b5ad
707;Pussy & Millions (feat. Travis Scott);Drake, Travis Scott, 21 Savage;3;2022;11;1930;191333656;E;Minor;75;https://i.scdn.co/image/ab67616d0000b27302854a7060fccc1a66a4b5ad
708;On BS;Drake, 21 Savage;2;2022;11;1338;170413877;A;Major;84;https://i.scdn.co/image/ab67616d0000b27302854a7060fccc1a66a4b5ad
709;Circo Loco;Drake, 21 Savage;2;2022;11;1794;141720999;C#;Major;73;https://i.scdn.co/image/ab67616d0000b27302854a7060fccc1a66a4b5ad
710;Spin Bout U;Drake, 21 Savage;2;2022;11;1652;198365537;G;Major;77;https://i.scdn.co/image/ab67616d0000b27302854a7060fccc1a66a4b5ad
711;Con La Brisa;Ludwig Goransson, Foudeqush;2;2022;11;486;71095708;D;Minor;62;Not Found
712;Privileged Rappers;Drake, 21 Savage;2;2022;11;1007;112436403;F;Major;93;https://i.scdn.co/image/ab67616d0000b27302854a7060fccc1a66a4b5ad
713;BackOutsideBoyz;Drake;1;2022;11;1045;93367537;F;Minor;85;https://i.scdn.co/image/ab67616d0000b27302854a7060fccc1a66a4b5ad
714;Broke Boys;Drake, 21 Savage;2;2022;11;1060;106249219;D;Major;64;https://i.scdn.co/image/ab67616d0000b27302854a7060fccc1a66a4b5ad
